"","id","title","topics"
"518",51675,"Проектирование баз данных",23
"519",51673,"Python for LUC",16
"520",51636,"Марафон ""Соточка по русскому"": пунктуация",16
"521",51631,"Физическая химия дисперсных систем",30
"522",51586,"Русский язык 5 класс",25
"523",51567,"Классификация вычислительной техники",28
"524",51548,"Русский язык 7 класс",25
"525",51541,"Описание программы ""Прямолинейной системы продаж""",19
"526",51519,"Как стать успешным дистанционным преподавателем",27
"527",51420,"Моделирование в Компас-3D для начинающих",10
"528",51367,"Обществознание. Учебный курс",25
"529",51353,"Problem Solving with Programming 2019-01",8
"530",51345,"Информатика в школе ",28
"531",51322,"Discover Turtles: Drawing With Python",2
"532",51235,"Охрана труда для ""чайников""",22
"533",51214,"Программирование станка с системой ЧПУ FANUC (и Sinumerik)",29
"534",51211,"Разработка игр на Unity 3D",12
"535",49808,"Тренировочные варианты ЕГЭ по информатике",18
"536",51181,"Основы конструкции автомобиля",12
"537",51176,"Физическая культура. Фитнес",12
"538",51168,"Интернет. Веб-разработка 7-11 кл. HTML, CSS, JS",27
"539",51162,"Посмотри на мир с помощью математики!",7
"540",51141,"Государство: понятие, признаки, виды",26
"541",51112,"Интерактивный учебник по программированию на C++",12
"542",51108,"Основы программирования на языке Python",19
"543",51023,"Работа судебного юриста с гражданским делом. Некоторые основы.",24
"544",51015,"MS Visio – рисовалка для всех и вся",3
"545",50927,"Олимпиада ОИК (январь 2019)",29
"546",50864,"География 10-11 класс",30
"547",50854,"Интервьюирование и консультирование для начинающих юристов",6
"548",50850,"Python для анализа данных",7
"549",49802,"Pascal",23
"550",50700,"Работа в СДО Moodle. Роль ""Преподаватель""",19
"551",50672,"Английский для медиков (English for medical students)",16
"552",50659,"Подготовка к ОГЭ по информатике",28
"553",50621,"Применение технологии смешанного обучения на уроках информатики.",25
"554",50527,"Биологические основы психопатологий",22
"555",50487,"Правоведение ",6
"556",50447,"Олимпиада ОИК",17
"557",50422,"Easy English",25
